name,email,phone,company
" john smith ","JOHN@Email.com","07888 123 456"," oakwood fitness "
"John Smith","john@email.com","07888123456","Oakwood Fitness"
"Sarah  collins","sarah.collins@email.com","07 700-900-123"," bright pixel ltd"
"mike jones","mike.jones@email","07700 900 124","Northshore Digital"
"AMY-WALKER","amy.walker@EXAMPLE.com","+44 7700 900125","northshore digital"
"Ben Rayner","benrayner@email.com","07700900126",""
"","no_name@company.com","07700 900 127","NoName Co"
"Kate Brown","kate.brown@email.com","not a phone","Bright Pixel Ltd"
"Tom Harris","tom.harris@email.com","07700 900 128","Oakwood Fitness"
"Tom Harris ","TOM.HARRIS@email.com","07700900128","oakwood fitness"
"James Lee","james.lee@email.com","07700 900 129","Oakwood Fitness"
"Lucy Green","lucy.green@email.com","","Bright Pixel Ltd"
"Olivia White","olivia.white@email.com","07700 900 130","Bright Pixel Ltd"
"Oliver White","oliver.white@email.com","07700 900 130","Bright Pixel Ltd"
"Emma Stone","emma.stone@email.com","07700 900 131","Northshore Digital"
